LGBTQ,Queer,NB,Gay,Lesbian,Transgender,Bisexual,Asexual,Pansexual
abnormal,groomers,not a proper functioning member of society,acting girly,nymphomaniac,identity isn’t real,not real,do not belong in the lgbtq+ community ,that if I’m with another woman it “doesn’t count” 
crazy,pedophiles,sensitive,feminine,exotic,stereotypical lesbian,a phase,havent tried hard enough,abnormality
have family issues,sensitive,social justice warrior,not masculine enough,unusual,can’t be happy,experimenting,is a disorder,lack of moral fiber 
have health issues,social justice warrior,out to push an agenda on society/children/etc,Easily fall in love with straight guys and have bad endings,a phase,unable to resist looking at people's breasts,harmful,out to push an agenda on society/children/etc,sexual deviancy
unfit for professional work,must be a phase,overly sensitive,faggot,lives a destructive life style,effeminate,causes AIDS,overly sensitive,sinful
sinful,autistic,such people do not exist,not natural,mean,associated with mental illness,look like a lesbian,such people do not exist,groomer
unnatural,slutty,must be a phase,do a lot of drugs,hate men,sex craved,need to choose,must be a phase,deviant
gonna go to hell,can’t commit,are too obsessed with labels,have monkeypox,ugly,predatory men,want attention,autistic,being lesser
won't commit to a serious relationship,gross,autistic,have HIV,sinful,faking being trans to be with women,cheat,pretending,presunted weakness
nymphomaniac,unprofessional,do not exist,dirty,flirtatious,being biologically and mentally male,not queer enough to be gay or straight enough,doesn't exist,dance and artistic preference
prostitute,generally undesirable,are just confused,perverted,not as intelligent,sensitive,fragile,something wrong,non-enough manhood
dangerous,inherently sexual,source of confusion unto the other ,femme,masculine,social justice warrior,snowflakes,confusion,"not gay enough
"
mentally sick,sexual deviancy,quirky (in a negative way),dirty,not real,out to push an agenda on society/children/etc,less capable academically,lack of commitment,there is something wrong 
aren’t old enough to know,sinful,too silly to take things seriously,sickly,must be a phase,overly sensitive,sexually promiscuous,hating women,undermined in an academic environment
weird,groomer,need to be fixed ,perverted,autistic,non technical,unwanted by lesbians,source of confusion unto the other ,more willing to have threesomes
overly sexual,deviant,less serious about my studies,pedophile,dismissed easily,emotional,sensitive,broken,easy
can’t be religious,being lesser,sinful,groomer,not taken seriously in my field,good at organizing,social justice warrior,dismissed easily,bigger chance of cheating 
unnatural,danger to children,gross,bad,doesn't have real sex,such people do not exist,promiscuous ,not taken seriously in my field,
confusion,child molester,danger to children,death sentence to disease and abuse,are just a porn category,must be a phase,unfaithful or dishonest about their “true” sexuality ,unhappy,
lack of commitment,contagious,child molester,hypersexual,,autistic,not gay enough,childish/immature,
pretending,survivor,contagious,love hard drugs,,source of confusion unto the other ,infidelity,need to be fixed ,
predatory,post-sexual,survivor,just party,,sinful,sexual deviancy,confused,
dangerous to straight people,creepy,post-sexual,not serious about career,,gross,sinful,was a phase,
sexual deviancy,doesn't have real sex,creepy,less serious about academics,,called faggot while also not being gay,groomer,aren't queer enough to be in the lgbt community,
sinful,sexually promiscuous,sexually promiscuous,not normal,,are just straight men,deviant,do not exist ,
groomer,are out in all spaces,confused,effeminate,,confused,being lesser,,
deviant,ugly,was a phase,overly sexual,,was a phase,is a myth,,
danger to children,mean,there is something wrong ,predatory,,there is something wrong ,presunted weakness,,
child molester,promiscuous,don't present masculine or feminine,sexual deviancy,,do not exist ,dance and artistic preference,,
contagious,can't be religious,,sinful,,,non-enough manhood,,
survivor,do not exist ,,promiscuity,,,"not gay enough
",,
snowflake,,,groomer,,,want to feel special,,
overly sensitive,,,deviant,,,selfish,,
deranged,,,being lesser,,,makes people have whorish behavior,,
evil,,,danger to children,,,effeminacy,,
deserve to be punished for we are a menace to society,,,child molester,,,flamboyance,,
not fit for a STEM degree,,,contagious,,,promiscuity,,
,,,survivor,,,there is something wrong ,,
,,,cutesy,,,aren't queer enough to be in the lgbt community,,
,,,post-sexual,,,disloyal,,
,,,creepy,,,confused,,
,,,not a real man,,,twice as likely to cheat,,
,,,less masculine,,,,,
,,,very feminine,,,,,
,,,not a real man,,,,,
,,,lack manliness,,,,,
,,,die from AIDS or whatever diseases there are,,,,,
,,,condemned to be unhappy for the rest of my life,,,,,
,,,are women,,,,,
,,,usually have STDs,,,,,
,,,predators,,,,,
,,,promiscuous,,,,,
,,,can't be religious,,,,,
,,,can't donate blood because their blood is dirty,,,,,
,,,is wrong,,,,,
,,,is a sin,,,,,
,,,is a choice,,,,,
,,,promiscuous,,,,,
